"","MAPE"
"CPUE",0.220422678815379
"CPUE + ISTI3_May",0.160530751800888
"CPUE + ISTI10_May",0.151217613880302
"CPUE + ISTI15_May",0.138634749450826
"CPUE + ISTI20_May",0.124929584189396
"CPUE + ISTI3_MJJ",0.166928155396453
"CPUE + ISTI10_MJJ",0.152596449279697
"CPUE + ISTI15_MJJ",0.134210280735301
"CPUE + ISTI20_MJJ",0.117578221926299
"CPUE + Chatham_SST_May",0.0893331476325818
"CPUE + Chatham_SST_MJJ",0.12472263288796
"CPUE + Chatham_SST_AMJ",0.0833127014779558
"CPUE + Chatham_SST_AMJJ",0.089732385925567
"CPUE + Icy_Strait_SST_May",0.0764387418719401
"CPUE + Icy_Strait_SST_MJJ",0.124237737877767
"CPUE + Icy_Strait_SST_AMJ",0.0872890146402479
"CPUE + Icy_Strait_SST_AMJJ",0.0998010274979861
"CPUE + NSEAK_SST_May",0.0860401462545785
"CPUE + NSEAK_SST_MJJ",0.0972759118049342
"CPUE + NSEAK_SST_AMJ",0.0833598124300542
"CPUE + NSEAK_SST_AMJJ",0.0721035930013733
"CPUE + SEAK_SST_May",0.102589688544115
"CPUE + SEAK_SST_MJJ",0.109746970507347
"CPUE + SEAK_SST_AMJ",0.0877681927068906
"CPUE + SEAK_SST_AMJJ",0.083129315804903
