"","year","NPI"
"1",1899,1017.54333333333
"2",1900,1014.95666666667
"3",1901,1015.88333333333
"4",1902,1015.49333333333
"5",1903,1015.86666666667
"6",1904,1017.70333333333
"7",1905,1016.62333333333
"8",1906,1014.80666666667
"9",1907,1016.66666666667
"10",1908,1016.66
"11",1909,1016.42666666667
"12",1910,1017.58333333333
"13",1911,1017.34666666667
"14",1912,1015.87333333333
"15",1913,1016.37
"16",1914,1015.99666666667
"17",1915,1018.29
"18",1916,1016.94333333333
"19",1917,1018.37
"20",1918,1016.12333333333
"21",1919,1017.98
"22",1920,1015.47666666667
"23",1921,1016.38333333333
"24",1922,1018.25666666667
"25",1923,1015.81666666667
"26",1924,1016.92
"27",1925,1017.23
"28",1926,1015.55333333333
"29",1927,1016.11
"30",1928,1016.49666666667
"31",1929,1015.66666666667
"32",1930,1016.47666666667
"33",1931,1015.68
"34",1932,1016.92
"35",1933,1016.80666666667
"36",1934,1017.68666666667
"37",1935,1016.52666666667
"38",1936,1016.54
"39",1937,1016
"40",1938,1017.43333333333
"41",1939,1016.54333333333
"42",1940,1015.73333333333
"43",1941,1014.88
"44",1942,1015.42
"45",1943,1016.17666666667
"46",1944,1016.88
"47",1945,1017.02
"48",1946,1016.44
"49",1947,1016.49666666667
"50",1948,1016.84333333333
"51",1949,1017.44666666667
"52",1950,1014.83333333333
"53",1951,1016.11333333333
"54",1952,1016.63333333333
"55",1953,1017.34333333333
"56",1954,1016.11666666667
"57",1955,1016.92333333333
"58",1956,1016.37
"59",1957,1015.87333333333
"60",1958,1015.84666666667
"61",1959,1016.73333333333
"62",1960,1016.86333333333
"63",1961,1016.82
"64",1962,1017.36333333333
"65",1963,1017.03666666667
"66",1964,1015.44
"67",1965,1015.73666666667
"68",1966,1015.97
"69",1967,1015.80666666667
"70",1968,1015.78333333333
"71",1969,1016.36
"72",1970,1015.85333333333
"73",1971,1015.32666666667
"74",1972,1016.04
"75",1973,1016.84666666667
"76",1974,1015.87666666667
"77",1975,1016.62333333333
"78",1976,1015.42
"79",1977,1015.67
"80",1978,1016.92
"81",1979,1016.68
"82",1980,1018.09666666667
"83",1981,1016.5
"84",1982,1015.92333333333
"85",1983,1016.15666666667
"86",1984,1016.37
"87",1985,1017.03666666667
"88",1986,1015.68333333333
"89",1987,1015.50333333333
"90",1988,1015.76666666667
"91",1989,1017.06666666667
"92",1990,1015.94666666667
"93",1991,1015.93666666667
"94",1992,1015.64666666667
"95",1993,1015.92
"96",1994,1017.2
"97",1995,1016.21666666667
"98",1996,1017.66
"99",1997,1015.58666666667
"100",1998,1018.10333333333
"101",1999,1015.84
"102",2000,1016.93333333333
"103",2001,1016.77
"104",2002,1015.57333333333
"105",2003,1016.10333333333
"106",2004,1015.12666666667
"107",2005,1015.51
"108",2006,1016.98333333333
"109",2007,1015.66666666667
"110",2008,1016.11333333333
"111",2009,1015.05666666667
"112",2010,1017.64666666667
"113",2011,1015.68666666667
"114",2012,1016.67
"115",2013,1015.98
"116",2014,1015.84333333333
"117",2015,1015.72333333333
"118",2016,1018.85333333333
"119",2017,1015.70333333333
"120",2018,1017.35666666667
"121",2019,1016.15
"122",2020,1015.72
"123",2021,1016.57333333333
"124",2022,1016.25333333333
"125",2023,1016.39333333333
