"","JYear","Year","ISTI20_MJJ","energy_density_June","energy_density_July","condition_June","condition_July","May_DV","June_DV","July_DV","zoo_density_May","zoo_density_June","zoo_density_July","CPUE","Chatham_SST_MJJ","Chatham_SST_May","Chatham_SST_AMJJ","Chatham_SST_AMJ","Icy_Strait_SST_MJJ","Icy_Strait_SST_May","Icy_Strait_SST_AMJJ","Icy_Strait_SST_AMJ","NSEAK_SST_MJJ","NSEAK_SST_May","NSEAK_SST_AMJJ","NSEAK_SST_AMJ","SEAK_SST_MJJ","SEAK_SST_May","SEAK_SST_AMJJ","SEAK_SST_AMJ","NPI","index","weight_values","SEAKCatch_log","model1_sim","sigma"
"1",2013,2014,8.835,20.924,21.113,0.07,-0.0046,1.24,0.48,0.47,1408.6,1025.1,1077.4,2.14,9.656230032,6.741309904,8.441797125,7.213631523,9.880714286,6.369857143,8.452142857,6.973952381,9.67311756,6.588735119,8.35515811,7.041044147,10.39433346,7.510859932,9.104802854,7.85053824,1015.98,"pink_cal_pool",0.001,3.61560595253893,3.37998568594703,0.246162828544566
"2",2014,2015,9.12,21.092,21.088,-0.051,-0.0032,0.7,0.43,0.37,1695.8,1478.6,1081.3,3.8,9.975175719,8.165239617,8.755798722,7.767689031,10.23414286,7.897285714,8.81025,7.622952381,10.02861855,8.153869048,8.701034226,7.637539683,10.56935787,8.615362373,9.264317499,8.173009138,1015.843333,"pink_cal_pool",0.001,3.55798937016045,4.04454900436764,0.24475866338713
"3",2015,2016,9.607,21.828,21.918,0.032,0.0343,0.66,0.52,0.31,1115.5,1650.8,907,2.45,10.6215229,8.873769968,9.554488818,8.73,10.72547619,8.341142857,9.430714286,8.29247619,10.80536706,8.918936012,9.559315476,8.653417659,11.42881086,9.643894104,10.213681,9.315996996,1015.723333,"pink_cal_pool",0.001,2.91094750673615,3.15298766548287,0.264844771377526
"4",2016,2017,10.199,21.61,21.683,0.006,0.0406,0.44,0.48,0.4,874.4,1422,973.9,4.35,11.0371459,8.915527157,10.0336901,9.068146965,11.64580952,8.806714286,10.37092857,9.137666667,11.18063492,8.917068452,10.05304129,9.001381448,11.67002253,9.607217424,10.59035205,9.592910252,1018.853333,"pink_cal_pool",0.001,3.54772957149518,3.68067373024987,0.262477225730769
"5",2017,2018,8.561,NA,21.373,NA,0.0198,0.9,0.64,0.58,2366,1958.9,1362.3,0.35,9.654909478,7.652939297,8.695822684,7.759669862,9.819952381,7.215714286,8.662571429,7.506714286,9.821436012,7.75,8.766136533,7.776912202,10.30890725,8.254776568,9.282535674,8.287829516,1015.703333,"pink_cal_pool",0.001,2.08786843546409,2.71575330602653,0.256107036312029
"6",2018,2019,8.925,NA,21.332,NA,-0.0891,0.7,0.55,0.58,2871.3,2023.8,2364.6,1.17,9.870670927,7.403546326,8.753682109,7.6142918,9.986380952,6.920571429,8.739,7.432714286,10.10597718,7.533891369,8.857790179,7.62624256,10.78651521,8.279545625,9.537979722,8.295293529,1017.356667,"pink_cal_pool",0.001,3.05125732640808,2.77659538198514,0.279831902792753
"7",2019,2020,9.911,21.439,21.713,-0.024,-0.028,0.98,0.58,0.55,1620.6,1339.1,1518.8,1.14,10.47024494,8.24399361,9.455543131,8.354930777,10.73871429,7.786571429,9.514035714,8.099142857,10.87125744,8.423013393,9.649970238,8.43640873,11.46330705,9.013203154,10.24567124,9.047048442,1016.15,"pink_cal_pool",1,2.08728433144547,2.27930643670638,0.278675977667507
"8",2020,2021,8.888,21.366,21.139,-0.056,-0.0749,1.08,0.67,0.43,2126.7,1520.3,1114.5,2.147502256,9.993876464,8.08942492,8.835375399,7.860308839,10.39714286,7.834,9.048571429,7.855619048,10.22914435,8.264471726,8.982358631,7.944806548,10.7027613,8.898197522,9.522393917,8.528336463,1015.72,"pink_cal_pool",1,3.88214490741713,3.29918980555824,0.274138689024967
"9",2021,2022,8.886,21.587,21.492,-0.04,-0.0739,1.43,0.77,0.66,3313.2,1228.2,1782,0.875454122,10.06083067,7.2485623,8.895159744,7.629190628,10.25933333,6.913571429,8.906642857,7.468,10.22695437,7.293787202,8.95766369,7.646894841,10.81557892,7.970443109,9.584913631,8.305451245,1016.573333,"pink_cal_pool",1,2.90685504785988,2.70204503472607,0.294849650044751
"10",2022,2023,8.984,21.159,20.983,-0.076,-0.0696,1.43,0.69,0.1,3733.9,4743.9,590.8,1.448291273,10.174377,7.515079872,8.918003195,7.64171459,10.34238095,7.134428571,8.884785714,7.402857143,10.52362847,7.622693452,9.107412574,7.735262897,11.04067217,8.215925648,9.683010702,8.377366379,1016.253333,"pink_cal_pool",1,3.8452991007452,2.94821252526407,0.290980841536654
